"","k = 2","k = 5","k = 10"
"1",136787.461260052,115059.207828038,120795.781745566
"2",117947.959302983,119856.044239952,122626.914356158
"3",120443.341753246,117015.07708671,120240.830919647
"4",128534.740755549,116234.33759782,118889.206393468
"5",122445.010508548,121682.205550185,118621.763816474
"6",122642.786480627,123667.136250353,116006.038984515
"7",119916.536703985,123617.342355209,120683.11628491
"8",130752.756665889,112081.03793537,119217.780694001
"9",127201.025649286,120992.314002287,115504.150687225
"10",126493.620481754,124519.319071252,119024.044099572
"11",133122.518912033,120607.753920072,118384.984717
"12",131173.155992058,123709.270721543,122639.406428445
"13",127509.040702272,116919.374225627,122465.836977279
"14",122178.552243236,118437.646277158,117427.910859652
"15",119222.323244603,119559.450646578,119559.324613277
"16",122948.151505749,120984.90191021,119291.173827766
"17",118222.301355914,119960.409457735,118080.036246744
"18",127309.918843478,122806.953426427,114623.009439294
"19",136673.489645987,120597.117690757,123476.64931203
"20",129327.09990729,124690.819775104,121871.066622705
"21",131167.208831222,121706.055844132,119081.727910621
"22",119220.417863062,117254.905871447,116723.920325428
"23",116303.832204413,124820.024868308,116183.169458689
"24",124715.232580413,126341.536927215,119880.662001185
"25",130246.985855152,121360.291674413,116539.354727465
"26",125854.91978802,122302.964513582,119110.053591716
"27",129835.561137533,119561.954784994,117890.210262767
"28",133557.455483075,116040.178002555,115815.995556138
"29",125575.952958836,123356.98360568,121850.980551786
"30",130280.545706678,118221.622746186,117335.600291578
